Quiz1,Quiz2,Assignment1,Assignment2,Attendance,StudyHours,ProjectScore,Midterm,Final,Grade
0.5,3.2,0.8,2.2,89,1.2,6.2,4.4,42.6,3
1.6,1.8,2.9,0.6,85,10.1,0.1,12.8,15.9,5
3.2,2.2,1.2,1.5,97,11.2,7.8,10.6,29.9,3
0.6,1.7,2.9,1.0,91,3.9,6.5,22.3,19.5,3
0.9,0.2,0.0,2.6,81,11.1,2.1,10.7,20.1,5
2.9,0.7,1.1,1.6,91,9.5,3.7,13.3,36.6,3
2.9,1.8,0.8,3.5,37,11.1,0.1,23.9,0.0,5
2.6,0.8,0.8,0.2,89,8.0,6.9,7.5,34.7,4
2.8,0.2,0.2,1.2,72,2.8,3.2,7.2,0.7,5
2.2,3.4,0.7,1.7,12,10.7,5.7,20.0,0.0,5
1.0,3.9,1.9,1.8,7,2.2,9.6,6.9,0.0,5
1.4,3.2,1.0,1.1,2,2.6,3.0,20.8,0.0,5
0.7,3.4,1.5,2.6,37,3.3,9.9,2.4,0.0,5
3.6,1.0,1.3,3.1,14,3.7,6.3,2.8,0.0,5
2.3,3.8,3.1,3.3,85,6.2,2.4,22.5,34.4,2
1.6,0.8,3.2,2.8,80,8.6,4.4,13.5,32.9,3
1.8,3.8,1.7,3.0,86,11.1,7.4,18.0,30.2,2
3.8,4.0,1.2,1.9,79,1.1,4.5,5.6,20.7,5
0.6,2.8,0.4,2.9,88,11.5,0.7,4.2,18.7,5
2.3,3.9,3.3,1.1,96,11.1,1.7,20.9,28.2,3
2.0,2.3,0.2,1.4,14,0.6,7.9,9.0,0.0,5
2.4,1.0,1.0,1.1,59,4.3,6.5,11.4,0.0,5
0.1,1.7,1.0,1.6,82,9.8,5.7,0.7,41.3,4
3.5,2.4,1.1,1.0,98,7.3,1.7,9.6,17.3,5
3.7,0.3,0.6,3.4,82,9.3,8.4,19.3,28.3,3
2.3,2.5,2.7,1.1,98,8.6,9.6,20.5,46.6,0
2.8,3.9,0.4,0.3,98,6.0,0.4,17.5,13.6,5
3.7,0.8,2.2,1.8,54,0.5,0.8,17.3,0.0,5
2.8,3.2,0.4,0.2,93,7.0,8.8,12.7,4.1,5
0.6,3.6,0.2,0.4,87,0.6,8.2,13.5,26.2,4
2.3,3.8,3.2,0.8,87,7.2,6.2,18.6,44.2,2
2.4,3.8,0.7,1.6,100,9.6,9.4,6.2,27.6,4
1.7,2.1,2.9,1.5,77,7.0,6.5,5.8,30.8,4
2.9,3.9,1.9,2.8,13,12.0,2.2,23.7,0.0,5
3.7,3.0,0.3,2.6,89,5.5,7.3,0.7,35.8,4
3.7,0.6,3.3,1.5,53,9.0,6.5,3.5,0.0,5
1.8,1.9,0.9,1.2,70,8.0,9.9,14.3,29.3,3
0.5,2.9,3.0,1.1,84,11.9,2.1,18.4,31.6,3
3.9,1.0,0.6,2.7,37,8.6,6.0,13.4,0.0,5
3.4,2.6,3.0,0.2,70,2.0,7.8,8.9,49.0,2
0.5,2.7,0.0,0.0,67,11.5,3.4,24.4,0.0,5
3.7,0.7,1.8,2.8,84,8.0,3.8,17.6,35.4,2
3.5,2.3,2.7,1.7,79,0.7,8.9,20.8,6.8,5
2.1,3.1,3.3,0.5,95,7.9,4.0,1.0,40.9,3
2.4,2.0,3.2,0.8,70,10.6,6.2,5.9,36.8,3
1.6,0.0,2.9,3.3,38,6.9,8.9,9.4,0.0,5
0.2,0.0,3.1,3.0,97,4.2,2.1,4.6,11.6,5
1.3,1.4,0.7,2.5,93,9.9,9.8,1.8,45.2,3
3.2,3.7,1.0,1.7,81,9.4,7.0,5.6,4.9,5
0.0,0.9,1.0,1.8,76,6.5,5.0,13.3,12.7,5
1.3,2.5,1.3,3.4,99,1.9,4.3,17.4,33.2,3
1.6,0.9,1.4,3.4,57,3.0,9.5,19.4,0.0,5
2.1,1.3,1.9,0.8,92,8.9,2.1,1.1,15.7,5
3.7,3.4,0.6,2.8,80,9.7,3.1,10.7,35.1,3
1.4,2.9,2.4,0.7,9,3.4,3.1,3.1,0.0,5
1.4,0.4,0.6,0.7,91,4.4,2.9,10.8,0.0,5
3.0,1.7,1.1,2.4,45,0.9,4.7,10.8,0.0,5
1.8,0.1,1.8,1.4,48,8.6,9.9,12.5,0.0,5
0.9,1.9,2.8,3.3,78,0.0,8.9,22.3,11.1,4
1.8,2.6,2.6,0.3,74,0.6,3.3,20.1,5.6,5
0.6,0.5,2.3,1.8,70,0.1,4.2,15.9,34.1,3
0.7,1.2,0.5,3.2,84,7.7,6.7,22.1,22.0,3
2.0,1.6,1.9,3.2,94,5.0,0.2,17.0,39.8,2
1.7,3.7,0.3,0.5,20,3.6,8.2,20.5,0.0,5
3.7,4.0,1.3,1.3,89,11.0,8.8,14.1,42.3,2
1.4,0.2,1.4,2.2,94,2.3,8.6,13.1,15.7,5
2.3,3.0,0.1,0.6,82,4.7,3.8,18.1,25.3,4
2.5,1.5,1.0,3.4,25,11.3,4.6,0.5,0.0,5
0.1,1.6,3.3,3.2,88,5.1,0.1,17.3,16.1,5
2.7,3.0,3.3,0.6,76,6.7,4.0,23.4,2.1,5
0.7,3.7,1.2,0.4,76,1.0,4.6,17.8,24.8,4
3.8,3.8,0.2,0.3,82,9.5,9.1,0.9,0.6,5
0.6,2.3,0.6,3.2,31,5.1,8.9,9.4,0.0,5
1.7,1.4,1.4,0.7,89,9.6,9.7,20.2,39.8,2
0.3,3.2,3.3,1.5,86,3.0,8.9,24.0,9.6,4
4.0,1.0,0.5,1.6,75,5.1,0.1,9.3,14.4,5
2.0,2.3,2.7,2.1,94,9.4,6.4,21.0,49.1,0
2.4,1.4,0.4,0.3,87,11.7,0.7,21.6,18.7,5
0.3,2.6,3.4,0.8,29,0.7,2.7,3.1,0.0,5
3.0,1.0,1.3,3.3,73,9.7,5.8,21.1,22.3,3
0.8,0.8,2.7,3.2,86,3.6,7.0,8.1,43.2,2
3.6,3.7,1.2,2.7,79,6.6,6.5,14.8,35.2,2
0.8,0.4,2.2,0.1,79,3.5,0.5,13.5,1.1,5
0.8,2.0,0.7,1.1,95,7.4,1.0,16.6,14.7,5
0.1,0.9,0.5,2.2,70,4.2,1.3,18.5,27.9,4
1.9,0.2,3.3,1.0,96,4.0,0.9,11.0,46.3,2
2.3,0.1,3.2,3.2,78,0.5,1.8,22.2,5.1,5
0.3,0.7,3.1,2.2,70,1.8,6.9,20.2,30.1,3
3.1,3.5,2.2,0.3,92,11.0,8.3,19.6,15.1,4
1.8,1.1,2.8,3.2,71,12.0,4.1,11.5,44.5,2
2.1,3.8,0.2,3.4,96,9.4,6.9,0.9,38.3,3
1.8,2.3,1.2,0.3,77,3.4,2.0,12.3,18.5,5
1.6,1.7,1.1,1.9,47,4.8,9.7,22.5,0.0,5
2.2,2.3,2.2,1.1,42,8.9,3.5,4.8,0.0,5
0.6,2.1,1.2,1.4,85,11.6,8.5,24.6,31.1,2
0.7,3.0,0.5,0.6,92,5.5,9.5,20.2,20.3,3
3.4,1.1,2.1,2.0,89,10.0,8.6,17.7,15.7,4
3.8,1.4,2.9,3.4,79,11.7,0.7,16.9,49.3,2
1.5,3.6,1.3,1.8,97,10.5,6.5,14.7,23.3,4
1.1,3.8,0.5,0.3,13,2.7,1.2,18.0,0.0,5
2.6,3.6,0.7,2.2,85,0.1,0.1,10.5,8.9,5
1.6,1.7,0.8,1.2,94,5.9,0.5,21.1,0.7,5
0.1,3.1,1.0,3.0,1,6.4,9.2,17.4,0.0,5
0.6,1.9,2.2,1.5,86,2.4,9.1,19.3,33.3,2
2.9,2.0,2.1,0.7,97,3.4,2.3,19.8,25.3,3
2.6,0.8,2.4,0.7,86,9.2,5.5,2.3,44.5,3
0.1,2.4,1.3,2.7,71,5.6,9.6,1.4,21.7,5
0.9,0.7,2.9,0.9,79,3.8,5.0,20.0,15.6,5
0.9,1.3,0.7,2.7,73,7.5,3.9,6.5,45.8,3
2.7,3.4,1.6,0.7,77,7.8,4.8,14.5,20.3,5
0.1,0.8,2.8,1.1,86,9.2,7.9,11.1,13.5,5
0.4,0.3,0.6,1.6,88,1.9,4.8,0.6,4.9,5
3.2,0.3,0.4,3.3,90,8.9,7.8,1.0,39.7,3
0.7,3.8,3.1,3.3,79,7.2,4.3,20.7,41.3,2
2.6,2.0,1.2,0.7,90,0.7,2.5,15.2,1.7,5
1.0,1.6,2.4,1.3,71,9.3,3.3,13.1,17.9,5
0.4,3.2,0.1,0.5,87,4.6,0.8,23.6,37.5,2
1.0,3.3,2.4,1.8,100,4.0,5.0,4.3,47.3,2
2.9,1.3,1.1,1.6,82,5.4,1.5,6.4,18.9,5
3.4,2.8,0.2,3.2,88,4.2,8.1,18.9,43.6,1
3.3,3.1,2.1,3.3,85,4.1,4.2,19.4,19.7,3
1.6,2.6,0.8,1.3,91,9.7,7.7,10.1,9.0,5
2.7,0.6,1.4,1.7,49,1.5,9.5,23.8,0.0,5
0.8,3.5,0.3,3.1,39,11.6,8.5,23.5,0.0,5
1.2,2.2,0.5,2.8,41,6.7,9.5,0.3,0.0,5
3.6,1.1,1.0,0.0,90,2.2,5.7,4.3,47.3,3
0.1,1.7,0.3,1.1,75,1.6,1.7,20.5,10.3,5
0.3,0.2,3.2,1.5,72,7.1,9.4,8.4,19.1,5
0.8,0.5,0.0,0.8,83,7.6,8.7,2.4,1.3,5
0.1,3.1,1.7,0.7,69,0.6,8.6,19.6,0.0,5
0.7,0.0,0.4,0.1,77,2.9,6.9,11.4,45.8,2
2.3,1.7,1.1,2.3,77,9.5,6.2,12.3,11.9,5
1.7,2.1,3.2,0.9,95,0.6,0.1,4.7,21.4,5
3.6,0.2,0.6,0.2,77,10.3,7.5,16.5,6.1,5
3.3,3.9,3.4,0.8,76,7.9,0.9,13.8,22.8,5
1.4,0.9,0.7,2.8,70,5.2,2.6,5.2,6.7,5
1.0,1.2,2.6,3.0,71,4.2,5.5,8.5,26.2,5
1.5,1.2,1.9,1.7,70,0.2,4.5,14.9,36.7,3
2.4,0.9,3.1,1.5,24,9.9,0.2,23.1,0.0,5
1.1,0.0,1.9,3.4,82,1.7,8.2,23.0,12.3,4
2.5,2.9,1.9,0.7,100,3.7,8.8,7.2,17.7,5
1.6,3.9,0.7,0.8,74,6.8,6.8,18.4,31.9,3
2.2,0.9,0.6,1.0,84,3.0,5.4,19.4,29.5,3
1.7,2.7,3.2,0.6,51,6.0,9.6,20.2,0.0,5
1.2,3.0,1.1,1.3,10,9.7,1.2,14.3,0.0,5
3.8,3.4,1.3,3.2,99,5.6,7.4,0.3,23.8,5
3.1,1.7,2.7,2.2,95,11.4,1.3,19.0,8.1,5
0.6,1.2,1.2,1.4,87,10.2,3.8,2.7,6.1,5
3.5,1.3,3.3,3.3,72,4.0,5.9,2.9,48.3,2
1.9,2.9,2.6,0.2,76,4.8,7.4,15.1,14.1,5
3.6,3.3,2.1,0.7,75,5.1,0.0,24.6,45.4,1
3.2,0.7,3.1,2.0,76,7.5,2.6,6.1,20.5,5
1.7,1.5,0.2,2.2,47,3.4,5.4,16.1,0.0,5
0.1,3.6,0.9,0.1,83,11.6,5.3,7.6,35.0,4
1.1,3.2,1.6,1.4,79,7.3,6.4,22.5,0.5,5
2.2,3.9,0.8,2.3,91,4.8,3.0,14.8,16.9,5
2.5,3.0,2.6,2.4,88,7.7,5.4,5.2,15.1,5
1.0,1.6,3.2,2.2,51,4.7,1.9,6.6,0.0,5
0.6,2.4,1.5,1.1,15,9.8,1.9,10.8,0.0,5
3.3,2.6,1.2,0.3,84,6.8,5.8,3.1,18.2,5
3.9,0.3,3.4,1.5,89,0.5,6.9,2.0,13.3,5
2.1,2.2,1.6,0.5,99,2.1,1.2,17.0,29.5,4
0.7,2.8,1.7,3.3,90,10.4,1.2,10.2,7.6,5
1.1,0.7,1.2,1.7,89,6.8,5.7,18.2,12.3,5
0.1,3.1,3.2,1.1,14,11.4,2.7,2.8,0.0,5
3.7,2.3,2.0,2.7,71,0.9,3.9,15.2,30.4,3
0.5,3.8,2.7,1.7,92,3.5,4.0,11.1,18.7,5
2.3,0.2,2.8,1.1,82,2.3,1.8,1.4,25.3,5
1.1,1.1,1.2,2.8,52,6.6,0.0,13.6,0.0,5
2.2,2.4,1.5,3.0,72,4.6,8.5,2.1,47.8,2
2.6,1.2,3.0,2.4,87,1.9,7.2,20.7,38.2,2
3.3,2.9,1.3,0.2,89,7.7,6.9,15.8,20.3,4
0.8,3.0,2.8,2.0,97,6.4,5.5,13.9,37.4,2
0.0,0.4,3.3,2.7,80,3.3,7.0,3.3,47.5,3
0.5,2.1,2.2,0.5,81,5.8,9.4,7.2,25.0,5
3.6,2.0,2.6,0.8,76,8.9,6.7,12.3,20.5,5
3.5,1.5,2.8,3.1,72,2.5,2.7,15.8,3.9,5
2.4,3.7,3.0,0.1,88,3.5,5.7,4.6,44.6,3
2.4,3.3,1.4,2.6,75,4.2,4.4,0.2,12.3,5
2.7,2.8,0.2,1.7,86,9.0,5.6,8.6,3.2,5
0.7,2.9,1.4,1.6,76,10.2,5.2,12.1,26.9,4
3.7,1.8,2.4,0.0,77,4.5,8.6,4.6,42.3,3
1.7,3.7,1.6,2.9,71,3.6,6.5,12.3,20.3,5
1.5,2.8,2.6,1.3,85,10.7,1.9,8.5,39.2,3
2.1,2.9,1.2,1.9,82,12.0,0.6,11.4,41.8,3
0.2,3.4,2.2,2.4,82,8.0,4.2,8.7,22.7,5
0.7,1.1,0.7,2.5,72,11.9,0.2,15.7,29.5,4
3.0,3.2,2.6,3.3,63,7.9,3.2,1.1,0.0,5
0.3,0.8,1.9,1.9,75,8.8,3.7,4.3,47.0,3
2.4,1.4,0.7,1.4,99,4.7,3.8,10.8,36.3,3
1.0,1.3,1.0,3.3,95,5.2,9.8,8.9,46.3,2
1.6,3.9,2.6,2.2,13,1.7,3.0,9.8,0.0,5
1.2,3.4,1.7,1.0,94,9.9,2.7,20.1,15.5,5
1.4,2.8,0.8,0.4,99,11.2,1.3,22.2,3.5,5
2.9,2.9,3.4,2.9,39,7.5,5.1,6.2,0.0,5
1.2,2.2,2.5,1.3,98,4.1,1.5,20.9,43.7,2
2.3,3.8,3.3,2.3,78,1.8,6.2,11.5,16.3,5
1.9,2.0,1.5,1.6,93,3.2,1.6,6.8,6.4,5
2.7,1.5,1.7,0.7,72,3.1,5.8,24.6,3.4,5
3.7,0.7,3.1,2.1,53,7.4,8.3,20.6,0.0,5
2.9,3.1,1.8,0.2,77,11.3,0.4,24.9,8.2,5
0.9,2.9,2.5,1.4,79,0.6,4.2,4.2,17.3,5
0.1,1.5,0.9,1.9,77,0.0,4.6,3.6,41.0,4
1.0,0.1,1.6,1.5,91,7.2,7.9,12.6,19.2,5
2.4,3.4,0.4,2.6,80,3.4,4.7,16.0,30.5,3
0.2,0.0,0.7,2.9,90,10.6,5.7,4.3,25.1,5
2.0,2.8,0.0,2.7,87,3.9,7.9,21.5,35.9,2
2.4,3.9,0.1,0.1,84,3.5,5.6,13.3,7.8,5
1.3,1.8,3.4,0.7,72,3.2,3.6,10.3,46.0,2
3.1,0.9,0.8,1.9,31,1.7,0.9,15.1,0.0,5
0.4,2.8,2.3,3.3,1,7.0,7.3,15.9,0.0,5
0.3,3.3,2.9,2.9,40,2.0,8.7,1.1,0.0,5
2.9,2.2,1.9,2.9,37,5.1,9.7,25.0,0.0,5
2.0,3.9,0.5,1.1,98,5.5,9.3,9.1,39.1,2
2.8,0.2,2.5,1.5,70,0.2,8.0,1.5,29.4,5
1.7,2.0,2.1,1.6,86,0.2,6.4,21.3,19.0,4
1.0,2.9,2.6,0.6,98,6.2,7.8,24.8,16.6,3
3.3,3.5,2.7,0.1,73,8.4,4.3,20.4,42.8,2
3.2,0.7,3.4,3.3,34,11.3,5.9,21.3,0.0,5
2.8,3.2,2.0,0.8,91,2.1,3.5,15.6,29.1,3
1.1,2.2,1.2,0.8,84,1.2,3.3,23.1,26.2,3
2.4,1.6,2.3,0.3,89,0.6,7.6,0.9,40.8,3
1.4,0.5,0.2,3.2,58,5.2,4.5,19.2,0.0,5
0.4,3.5,3.1,2.0,90,7.5,2.1,16.8,20.0,5
3.7,0.6,0.4,2.3,100,10.1,2.0,1.2,4.1,5
0.5,1.2,1.1,3.2,81,8.2,8.6,13.6,38.4,2
3.8,1.2,2.9,1.2,81,2.5,6.8,12.9,8.4,5
1.8,3.5,2.1,2.2,99,5.5,5.5,17.3,0.8,5
0.7,2.7,1.4,0.1,93,10.9,4.0,1.9,42.2,4
2.2,3.2,1.7,0.7,84,3.9,4.3,20.1,28.9,3
3.5,1.0,3.0,2.9,98,6.0,0.6,3.5,44.6,3
2.9,2.5,1.2,2.7,72,11.5,4.5,10.5,24.2,5
3.2,2.3,3.0,1.2,29,8.8,8.0,22.0,0.0,5
2.6,3.3,0.3,1.3,70,9.0,3.9,14.0,17.7,5
2.8,3.6,2.7,1.9,72,3.0,3.8,9.5,36.2,3
3.4,0.0,3.0,0.0,78,5.0,0.2,1.2,15.0,5
1.0,2.7,0.6,0.8,95,1.0,4.6,16.8,0.1,5
2.0,0.2,1.5,0.7,45,7.3,0.3,24.7,0.0,5
0.9,2.2,0.6,0.9,78,1.2,5.7,22.8,36.9,2
4.0,1.2,2.5,2.8,98,10.0,5.1,17.9,7.5,5
3.8,1.2,1.9,1.0,82,9.8,8.4,2.6,25.2,5
0.2,1.4,2.2,0.7,92,6.4,5.8,6.0,10.6,5
2.8,2.5,0.7,1.8,92,1.7,3.2,4.7,3.7,5
3.7,1.3,0.7,3.0,71,0.3,5.2,8.9,30.9,4
0.7,2.9,0.1,0.8,8,9.6,7.0,5.9,0.0,5
2.3,1.6,1.1,0.3,89,7.2,0.9,6.1,15.5,5
3.7,0.3,2.0,1.2,72,8.5,6.2,15.4,29.0,3
0.1,3.1,3.0,2.6,79,3.6,9.2,8.0,47.7,2
2.8,1.1,2.3,1.9,83,6.1,3.0,16.9,32.5,3
1.2,1.7,1.5,2.9,62,9.0,6.3,23.7,0.0,5
3.7,2.7,3.3,3.4,76,5.6,8.2,16.0,8.9,5
3.9,1.3,2.5,2.8,84,7.2,5.1,18.8,24.6,3
3.8,0.2,3.3,2.1,93,9.5,7.2,18.8,18.4,4
1.9,1.5,1.8,1.7,77,2.6,3.1,8.3,23.5,5
3.4,3.8,0.9,0.1,85,0.8,3.1,0.4,40.0,4
3.4,2.6,0.2,3.4,72,6.4,6.7,1.4,23.0,5
1.3,2.7,2.5,1.3,83,0.7,7.1,7.1,3.1,5
3.3,2.5,0.4,0.5,76,9.2,9.4,17.2,45.3,2
0.1,0.8,1.1,2.3,99,8.6,2.2,22.7,27.2,3
2.4,1.7,1.9,1.0,73,10.6,4.7,24.0,46.2,1
0.9,3.0,2.0,2.1,73,7.7,2.5,0.6,28.6,5
0.5,0.4,2.1,2.1,75,0.8,0.8,24.8,3.5,5
0.3,1.1,0.6,1.6,97,3.0,4.0,8.1,27.6,5
2.8,1.1,1.3,2.9,76,9.7,3.7,21.1,28.8,3
1.4,1.7,2.2,0.9,74,2.0,2.7,4.5,10.7,5
2.9,3.9,3.4,1.6,88,8.4,3.0,1.6,23.6,5
0.3,0.3,2.5,1.9,56,9.4,3.6,9.5,0.0,5
1.3,2.1,3.2,2.3,87,4.0,9.9,21.5,31.1,2
2.2,0.7,2.7,2.7,74,3.9,7.8,5.5,13.0,5
3.2,3.9,2.1,1.4,78,6.7,0.7,3.8,29.1,5
1.3,0.5,0.7,2.3,70,10.3,8.7,22.7,12.0,5
2.5,1.6,2.3,0.5,60,2.7,6.3,23.5,0.0,5
3.5,3.0,2.2,3.3,75,11.3,8.9,0.3,6.1,5
2.5,2.8,2.1,1.3,33,7.2,3.4,18.2,0.0,5
0.9,1.7,1.7,2.6,88,11.9,4.6,7.7,16.0,5
0.1,1.4,1.9,0.1,3,1.1,9.0,9.4,0.0,5
3.5,1.6,1.2,0.7,15,1.5,2.7,11.7,0.0,5
0.1,1.1,1.8,1.7,100,9.9,9.2,10.7,48.1,2
3.5,0.8,0.7,3.1,72,10.4,8.3,12.9,26.1,3
2.1,1.9,2.8,1.8,63,5.3,9.8,14.6,0.0,5
3.8,1.1,0.7,3.3,93,8.6,3.2,11.6,47.1,2
3.2,1.1,0.3,1.7,83,10.4,2.4,17.5,46.1,2
4.0,2.6,1.5,1.7,52,0.5,3.3,18.0,0.0,5
1.4,3.9,2.3,0.4,83,6.9,9.5,11.0,4.9,5
3.1,2.4,1.5,2.8,46,10.2,3.3,3.6,0.0,5
1.6,0.3,1.0,0.9,33,4.8,5.7,16.0,0.0,5
1.9,0.3,2.0,3.1,92,3.6,4.0,19.3,41.8,2
2.5,3.8,1.2,3.2,94,9.5,4.0,16.0,28.9,3
3.5,1.2,3.3,3.3,85,4.0,1.9,14.7,0.9,5
3.9,0.4,3.2,1.8,87,0.0,5.4,5.7,48.7,2
3.1,2.4,1.8,2.4,80,11.5,8.5,16.1,23.6,3
1.7,2.5,1.1,2.7,40,7.1,0.5,8.4,0.0,5
1.7,2.6,2.6,0.5,72,9.8,8.9,23.0,19.7,3
3.0,1.1,0.1,2.1,42,9.9,6.7,16.3,0.0,5
1.0,0.1,1.7,0.1,87,0.8,6.2,7.0,12.1,5
0.4,3.9,1.2,1.7,97,2.1,6.3,11.8,16.4,5
1.4,1.0,3.2,0.5,85,3.7,3.0,21.2,49.3,1
1.1,2.7,0.0,0.6,80,3.8,4.2,8.4,18.4,5
1.2,2.8,1.9,1.3,84,7.9,8.0,13.1,26.3,3
0.9,2.4,2.6,1.5,76,7.5,3.1,17.0,42.4,2
0.2,1.3,1.7,2.2,93,5.9,4.7,18.9,26.4,3
0.1,1.1,0.3,0.3,73,2.5,0.2,4.3,16.2,5
4.0,2.4,3.4,1.8,90,4.6,7.3,14.1,26.2,3
1.7,3.5,1.8,0.6,88,6.5,4.2,22.8,5.7,5
1.5,3.8,2.1,2.0,91,5.6,5.3,24.2,6.5,5
2.7,0.4,0.8,2.2,20,1.5,1.1,16.4,0.0,5
0.9,0.6,1.7,1.9,82,7.8,9.9,24.6,45.9,0
3.8,3.8,1.5,2.6,96,0.9,3.0,14.3,36.3,2
3.1,2.9,0.3,1.2,100,4.5,6.3,11.1,3.7,5
0.4,3.5,0.4,2.7,86,8.5,5.8,13.8,20.1,5
1.7,0.8,2.9,1.5,75,0.2,7.9,2.9,0.1,5
3.5,2.4,0.8,1.7,82,6.8,2.9,10.0,25.6,5
3.8,2.8,0.7,2.3,80,4.0,7.6,11.5,9.7,5
1.9,2.7,1.8,0.1,83,0.1,3.8,21.2,43.4,2
2.5,1.6,2.7,2.3,93,2.3,4.1,19.0,5.2,5
0.7,0.1,0.2,2.2,34,11.3,6.7,15.0,0.0,5
4.0,2.3,2.0,1.1,89,6.3,7.8,8.7,22.6,5
0.9,1.0,0.4,0.3,86,12.0,6.7,4.7,7.8,5
3.8,1.8,0.1,0.3,88,6.3,9.0,8.7,36.9,3
2.6,3.8,0.2,3.2,77,6.5,2.9,17.0,46.0,2
2.4,1.6,2.9,2.4,94,4.7,9.0,6.6,2.1,5
2.1,3.4,0.4,0.4,94,3.7,1.3,10.7,19.8,5
0.9,0.8,0.2,1.2,87,3.0,6.6,9.7,49.8,2
0.7,2.7,1.5,2.1,88,4.1,5.5,19.1,36.6,2
0.9,3.9,3.0,2.9,64,5.5,4.9,22.1,0.0,5
0.7,0.4,0.9,0.2,85,2.3,3.1,17.5,8.2,5
3.1,0.0,1.5,0.8,89,2.7,5.0,8.5,11.1,5
1.4,1.7,0.1,3.1,86,3.3,1.6,10.8,7.7,5
0.2,0.4,1.6,0.0,82,5.4,3.7,3.6,15.1,5
3.9,3.0,2.0,0.7,90,7.8,1.0,4.2,36.2,4
3.5,3.7,2.0,3.4,93,10.3,5.7,4.1,8.2,5
3.7,1.7,1.2,2.1,7,3.4,1.0,3.3,0.0,5
4.0,1.0,1.1,0.9,81,2.2,1.6,4.5,13.5,5
0.7,1.7,0.4,0.2,97,4.5,0.9,5.1,41.5,4
1.6,2.9,1.3,0.1,80,10.7,3.8,2.8,0.3,5
3.0,0.0,0.3,0.9,16,0.1,8.4,16.0,0.0,5
2.8,2.4,2.7,3.1,79,8.1,9.1,24.8,30.3,2
0.6,2.5,3.4,1.5,87,5.7,0.7,22.0,4.8,5
3.3,2.6,3.4,2.5,93,1.9,6.3,1.1,23.3,5
0.9,1.0,3.0,3.2,92,3.9,6.8,10.6,21.8,5
0.9,2.9,2.1,1.4,14,2.7,5.3,21.5,0.0,5
2.1,0.4,2.5,0.7,27,10.5,6.7,3.4,0.0,5
2.4,0.8,1.0,1.8,72,5.8,2.3,21.2,32.0,3
2.3,3.5,2.2,3.2,85,6.8,4.9,14.8,47.6,2
0.4,3.0,1.6,2.8,78,7.1,3.9,23.3,49.1,1
3.5,0.1,1.7,0.2,95,7.7,0.9,21.9,32.7,3
1.1,1.0,2.7,2.4,84,5.9,6.3,16.9,26.1,3
0.5,0.9,1.0,2.0,76,0.2,5.0,16.4,30.4,3
3.6,1.1,1.1,3.2,2,4.0,2.8,5.3,0.0,5
3.8,1.0,3.2,0.4,18,2.2,4.7,2.9,0.0,5
3.4,0.3,0.2,1.9,78,8.2,7.8,10.4,35.3,3
3.2,1.8,1.7,3.1,56,0.7,8.0,4.7,0.0,5
2.6,2.9,3.2,1.4,72,6.8,6.5,2.6,2.9,5
2.2,2.4,2.1,1.7,77,2.5,4.7,7.6,2.2,5
0.3,2.7,1.9,0.2,52,11.4,5.8,21.5,0.0,5
1.6,0.3,0.9,1.0,6,4.0,3.9,0.4,0.0,5
1.5,3.8,1.2,1.1,94,3.9,1.3,7.3,20.8,5
1.0,3.4,3.0,3.3,98,11.1,3.9,10.6,10.7,5
2.9,3.2,2.0,1.0,82,5.0,5.3,12.8,31.5,3
2.0,3.3,1.8,1.6,96,11.6,6.0,4.5,10.6,5
0.3,3.7,0.3,2.3,78,0.3,9.4,24.1,9.4,4
0.9,2.2,0.1,0.6,28,3.7,7.8,14.5,0.0,5
2.7,0.8,3.4,1.7,94,8.0,1.5,13.1,44.4,2
0.3,2.5,1.3,2.6,11,10.7,1.7,0.2,0.0,5
3.4,3.0,2.1,3.0,73,3.1,1.0,12.1,20.7,5
2.0,3.0,0.3,2.2,90,11.2,7.4,20.9,28.9,2
1.9,2.1,2.4,2.3,35,7.1,7.1,5.5,0.0,5
2.4,0.3,3.3,0.4,99,9.6,9.9,8.8,17.7,5
3.3,1.5,2.0,3.3,49,4.8,5.2,0.5,0.0,5
1.4,3.7,0.4,0.5,86,2.5,8.3,24.4,28.6,2
2.7,2.3,2.0,2.7,45,10.9,5.8,1.7,0.0,5
2.3,2.2,2.7,0.9,87,11.2,8.7,22.5,33.7,2
1.1,1.1,1.4,3.3,92,6.0,7.2,7.8,12.7,5
3.5,1.5,3.1,2.5,79,0.1,6.4,14.7,39.0,2
3.2,3.6,2.3,2.6,100,1.3,5.7,17.0,12.8,5
2.6,2.7,3.1,0.8,76,6.9,7.2,3.5,7.5,5
3.4,3.1,2.2,1.6,73,0.3,4.2,11.1,17.5,5
3.5,1.8,0.5,2.2,92,4.8,1.0,8.1,29.9,5
2.8,2.5,1.1,2.7,79,3.6,0.4,1.4,7.1,5
3.3,1.0,0.7,0.4,37,8.6,4.8,20.8,0.0,5
2.8,2.8,3.2,3.4,98,0.7,6.0,1.1,43.2,3
2.7,1.7,2.7,3.1,99,5.9,0.8,16.3,14.7,5
2.5,1.8,2.4,0.9,87,6.9,2.9,7.9,22.5,5
3.0,2.6,1.1,2.9,72,7.4,3.2,4.8,11.4,5
0.6,3.7,0.6,1.8,75,4.9,5.6,16.7,18.1,5
3.5,0.3,2.6,1.6,86,3.7,2.8,14.4,1.1,5
3.5,3.3,1.7,1.1,17,8.2,1.0,7.9,0.0,5
